onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	136.267	-1	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1566D
136.267	3.0	69429	COUNTDOWN	n/a	n/a	n/a	-999	-999	-999	RepFR1	1	R1566D
140.351	1.6	71520	WORD	n/a	wordpools/wordpool_EN.txt	SLIME	0	3	0	RepFR1	1	R1566D
141.953	0.881	72340	WORD_OFF	n/a	n/a	n/a	0	-999	0	RepFR1	1	R1566D
142.834	1.6	72792	WORD	n/a	wordpools/wordpool_EN.txt	PARK	1	3	0	RepFR1	1	R1566D
144.435	1.0	73611	WORD_OFF	n/a	n/a	n/a	1	-999	0	RepFR1	1	R1566D
145.435	1.6	74123	WORD	n/a	wordpools/wordpool_EN.txt	WAVE	2	2	0	RepFR1	1	R1566D
147.036	0.95	74943	WORD_OFF	n/a	n/a	n/a	2	-999	0	RepFR1	1	R1566D
147.986	1.6	75429	WORD	n/a	wordpools/wordpool_EN.txt	HUT	3	1	0	RepFR1	1	R1566D
149.586	0.984	76248	WORD_OFF	n/a	n/a	n/a	3	-999	0	RepFR1	1	R1566D
150.57	1.6	76752	WORD	n/a	wordpools/wordpool_EN.txt	NET	4	3	0	RepFR1	1	R1566D
152.17	0.866	77571	WORD_OFF	n/a	n/a	n/a	4	-999	0	RepFR1	1	R1566D
153.036	1.6	78015	WORD	n/a	wordpools/wordpool_EN.txt	WASP	5	2	0	RepFR1	1	R1566D
154.637	0.883	78834	WORD_OFF	n/a	n/a	n/a	5	-999	0	RepFR1	1	R1566D
155.52	1.6	79286	WORD	n/a	wordpools/wordpool_EN.txt	BOMB	6	3	0	RepFR1	1	R1566D
157.121	0.783	80106	WORD_OFF	n/a	n/a	n/a	6	-999	0	RepFR1	1	R1566D
157.904	1.6	80507	WORD	n/a	wordpools/wordpool_EN.txt	DRINK	7	3	0	RepFR1	1	R1566D
159.505	0.967	81327	WORD_OFF	n/a	n/a	n/a	7	-999	0	RepFR1	1	R1566D
160.472	1.6	81822	WORD	n/a	wordpools/wordpool_EN.txt	HORN	8	2	0	RepFR1	1	R1566D
162.071	0.967	82640	WORD_OFF	n/a	n/a	n/a	8	-999	0	RepFR1	1	R1566D
163.038	1.6	83135	WORD	n/a	wordpools/wordpool_EN.txt	SLIME	9	3	0	RepFR1	1	R1566D
164.639	0.867	83955	WORD_OFF	n/a	n/a	n/a	9	-999	0	RepFR1	1	R1566D
165.506	1.6	84399	WORD	n/a	wordpools/wordpool_EN.txt	PARK	10	3	0	RepFR1	1	R1566D
167.105	0.867	85218	WORD_OFF	n/a	n/a	n/a	10	-999	0	RepFR1	1	R1566D
167.972	1.6	85662	WORD	n/a	wordpools/wordpool_EN.txt	BOMB	11	3	0	RepFR1	1	R1566D
169.573	0.933	86481	WORD_OFF	n/a	n/a	n/a	11	-999	0	RepFR1	1	R1566D
170.506	1.6	86959	WORD	n/a	wordpools/wordpool_EN.txt	NET	12	3	0	RepFR1	1	R1566D
172.106	0.984	87778	WORD_OFF	n/a	n/a	n/a	12	-999	0	RepFR1	1	R1566D
173.09	1.6	88282	WORD	n/a	wordpools/wordpool_EN.txt	GRASS	13	1	0	RepFR1	1	R1566D
174.691	0.899	89101	WORD_OFF	n/a	n/a	n/a	13	-999	0	RepFR1	1	R1566D
175.59	1.6	89562	WORD	n/a	wordpools/wordpool_EN.txt	SLEEVE	14	3	0	RepFR1	1	R1566D
177.191	0.835	90381	WORD_OFF	n/a	n/a	n/a	14	-999	0	RepFR1	1	R1566D
178.026	1.6	90809	WORD	n/a	wordpools/wordpool_EN.txt	DRINK	15	3	0	RepFR1	1	R1566D
179.626	0.965	91628	WORD_OFF	n/a	n/a	n/a	15	-999	0	RepFR1	1	R1566D
180.591	1.6	92122	WORD	n/a	wordpools/wordpool_EN.txt	BOMB	16	3	0	RepFR1	1	R1566D
182.192	0.767	92942	WORD_OFF	n/a	n/a	n/a	16	-999	0	RepFR1	1	R1566D
182.959	1.6	93334	WORD	n/a	wordpools/wordpool_EN.txt	WAVE	17	2	0	RepFR1	1	R1566D
184.559	0.966	94154	WORD_OFF	n/a	n/a	n/a	17	-999	0	RepFR1	1	R1566D
185.525	1.6	94648	WORD	n/a	wordpools/wordpool_EN.txt	DART	18	1	0	RepFR1	1	R1566D
187.126	0.816	95468	WORD_OFF	n/a	n/a	n/a	18	-999	0	RepFR1	1	R1566D
187.942	1.6	95886	WORD	n/a	wordpools/wordpool_EN.txt	SLEEVE	19	3	0	RepFR1	1	R1566D
189.543	1.0	96705	WORD_OFF	n/a	n/a	n/a	19	-999	0	RepFR1	1	R1566D
190.543	1.6	97217	WORD	n/a	wordpools/wordpool_EN.txt	PARK	20	3	0	RepFR1	1	R1566D
192.144	0.933	98037	WORD_OFF	n/a	n/a	n/a	20	-999	0	RepFR1	1	R1566D
193.077	1.6	98515	WORD	n/a	wordpools/wordpool_EN.txt	HORN	21	2	0	RepFR1	1	R1566D
194.678	0.883	99334	WORD_OFF	n/a	n/a	n/a	21	-999	0	RepFR1	1	R1566D
195.561	1.6	99786	WORD	n/a	wordpools/wordpool_EN.txt	SLIME	22	3	0	RepFR1	1	R1566D
197.162	0.783	100606	WORD_OFF	n/a	n/a	n/a	22	-999	0	RepFR1	1	R1566D
197.945	1.6	101007	WORD	n/a	wordpools/wordpool_EN.txt	NET	23	3	0	RepFR1	1	R1566D
199.545	0.834	101826	WORD_OFF	n/a	n/a	n/a	23	-999	0	RepFR1	1	R1566D
200.379	1.6	102253	WORD	n/a	wordpools/wordpool_EN.txt	WASP	24	2	0	RepFR1	1	R1566D
201.979	0.849	103072	WORD_OFF	n/a	n/a	n/a	24	-999	0	RepFR1	1	R1566D
202.828	1.6	103507	WORD	n/a	wordpools/wordpool_EN.txt	DRINK	25	3	0	RepFR1	1	R1566D
204.414	0.932	104319	WORD_OFF	n/a	n/a	n/a	25	-999	0	RepFR1	1	R1566D
205.346	1.6	104796	WORD	n/a	wordpools/wordpool_EN.txt	SLEEVE	26	3	0	RepFR1	1	R1566D
206.946	7.852	105615	WORD_OFF	n/a	n/a	n/a	26	-999	0	RepFR1	1	R1566D
214.798	1.084	109635	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1566D
215.882	0.927	110190	REC_WORD	1.084	n/a	SLIME	-999	3	0	RepFR1	1	R1566D
216.809	0.822	110665	REC_WORD	2.011	n/a	HUT	-999	1	0	RepFR1	1	R1566D
217.631	2.164	111086	REC_WORD	2.833	n/a	WAVE	-999	2	0	RepFR1	1	R1566D
219.795	1.044	112194	REC_WORD	4.997	n/a	NET	-999	3	0	RepFR1	1	R1566D
220.839	7.128	112728	REC_WORD	6.041	n/a	BOMB	-999	3	0	RepFR1	1	R1566D
227.967	4.955	116377	REC_WORD	13.169	n/a	HUT	-999	1	0	RepFR1	1	R1566D
232.922	12.588	118914	REC_WORD	18.124	n/a	WASP	-999	2	0	RepFR1	1	R1566D
245.51	23.331	125359	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1566D
268.841	3.0	137304	COUNTDOWN	n/a	n/a	n/a	-999	-999	-999	RepFR1	1	R1566D
