onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.005	4964	START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1587J
0.005	225.58	4969	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1587J
225.585	9.952	230549	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1587J
235.537	3.0	240501	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1587J
239.654	0.75	244618	WORD	n/a	wordpools/wordpool_EN.txt	GLASS	0	3	0	RepFR1	3	R1587J
241.37	0.75	246334	WORD	n/a	wordpools/wordpool_EN.txt	INK	1	2	0	RepFR1	3	R1587J
243.004	0.75	247968	WORD	n/a	wordpools/wordpool_EN.txt	STORM	2	3	0	RepFR1	3	R1587J
244.722	0.75	249686	WORD	n/a	wordpools/wordpool_EN.txt	GLASS	3	3	0	RepFR1	3	R1587J
246.472	0.75	251436	WORD	n/a	wordpools/wordpool_EN.txt	YARD	4	3	0	RepFR1	3	R1587J
248.089	0.75	253053	WORD	n/a	wordpools/wordpool_EN.txt	INK	5	2	0	RepFR1	3	R1587J
249.822	0.75	254786	WORD	n/a	wordpools/wordpool_EN.txt	PARK	6	2	0	RepFR1	3	R1587J
251.339	0.75	256303	WORD	n/a	wordpools/wordpool_EN.txt	STORM	7	3	0	RepFR1	3	R1587J
253.006	0.75	257970	WORD	n/a	wordpools/wordpool_EN.txt	EGG	8	2	0	RepFR1	3	R1587J
254.723	0.75	259687	WORD	n/a	wordpools/wordpool_EN.txt	TOOL	9	3	0	RepFR1	3	R1587J
256.273	0.75	261237	WORD	n/a	wordpools/wordpool_EN.txt	COIN	10	3	0	RepFR1	3	R1587J
257.89	0.75	262854	WORD	n/a	wordpools/wordpool_EN.txt	GLASS	11	3	0	RepFR1	3	R1587J
259.439	0.75	264403	WORD	n/a	wordpools/wordpool_EN.txt	COIN	12	3	0	RepFR1	3	R1587J
260.99	0.75	265954	WORD	n/a	wordpools/wordpool_EN.txt	TOOL	13	3	0	RepFR1	3	R1587J
262.657	0.75	267621	WORD	n/a	wordpools/wordpool_EN.txt	PARK	14	2	0	RepFR1	3	R1587J
264.341	0.75	269305	WORD	n/a	wordpools/wordpool_EN.txt	STORM	15	3	0	RepFR1	3	R1587J
266.058	0.75	271022	WORD	n/a	wordpools/wordpool_EN.txt	COIN	16	3	0	RepFR1	3	R1587J
267.758	0.75	272722	WORD	n/a	wordpools/wordpool_EN.txt	YARD	17	3	0	RepFR1	3	R1587J
269.375	0.75	274339	WORD	n/a	wordpools/wordpool_EN.txt	CLOTH	18	1	0	RepFR1	3	R1587J
271.108	0.75	276072	WORD	n/a	wordpools/wordpool_EN.txt	DITCH	19	1	0	RepFR1	3	R1587J
272.708	0.75	277672	WORD	n/a	wordpools/wordpool_EN.txt	TOOL	20	3	0	RepFR1	3	R1587J
274.292	0.75	279256	WORD	n/a	wordpools/wordpool_EN.txt	CUP	21	3	0	RepFR1	3	R1587J
276.042	0.75	281006	WORD	n/a	wordpools/wordpool_EN.txt	YARD	22	3	0	RepFR1	3	R1587J
277.692	0.75	282656	WORD	n/a	wordpools/wordpool_EN.txt	CUP	23	3	0	RepFR1	3	R1587J
279.309	0.75	284273	WORD	n/a	wordpools/wordpool_EN.txt	EGG	24	2	0	RepFR1	3	R1587J
280.91	0.75	285874	WORD	n/a	wordpools/wordpool_EN.txt	KITE	25	1	0	RepFR1	3	R1587J
282.61	0.75	287574	WORD	n/a	wordpools/wordpool_EN.txt	CUP	26	3	0	RepFR1	3	R1587J
291.678	1.116	296642	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1587J
292.794	1.056	297758	REC_WORD	1.116	n/a	GLASS	-999	3	0	RepFR1	3	R1587J
293.85	1.052	298814	REC_WORD	2.172	n/a	CUP	-999	3	0	RepFR1	3	R1587J
294.902	5.44	299866	REC_WORD	3.224	n/a	YARD	-999	3	0	RepFR1	3	R1587J
300.342	21.53	305306	REC_WORD_VV	8.664	n/a	<>	-999	-999	0	RepFR1	3	R1587J
321.872	0.2	326836	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1587J
322.072	21.796	327036	TRIAL_START	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1587J
343.868	3.0	348832	COUNTDOWN	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1587J
347.985	0.75	352949	WORD	n/a	wordpools/wordpool_EN.txt	BOOT	0	3	1	RepFR1	3	R1587J
349.603	0.75	354567	WORD	n/a	wordpools/wordpool_EN.txt	SHELL	1	2	1	RepFR1	3	R1587J
351.203	0.75	356167	WORD	n/a	wordpools/wordpool_EN.txt	BOOT	2	3	1	RepFR1	3	R1587J
352.786	0.75	357750	WORD	n/a	wordpools/wordpool_EN.txt	BAND	3	3	1	RepFR1	3	R1587J
354.336	0.75	359300	WORD	n/a	wordpools/wordpool_EN.txt	LINT	4	2	1	RepFR1	3	R1587J
356.003	0.75	360967	WORD	n/a	wordpools/wordpool_EN.txt	BAND	5	3	1	RepFR1	3	R1587J
