onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.007	43474	START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1619T
0.007	211.929	43481	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1619T
211.936	10.117	255410	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1619T
222.053	3.0	265527	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1619T
226.142	0.75	269616	WORD	n/a	wordpools/wordpool_EN.txt	FRIEND	0	3	0	RepFR1	0	R1619T
227.904	0.75	271378	WORD	n/a	wordpools/wordpool_EN.txt	BANK	1	3	0	RepFR1	0	R1619T
229.471	0.75	272945	WORD	n/a	wordpools/wordpool_EN.txt	SMILE	2	2	0	RepFR1	0	R1619T
231.021	0.75	274495	WORD	n/a	wordpools/wordpool_EN.txt	TROUT	3	3	0	RepFR1	0	R1619T
232.555	0.75	276029	WORD	n/a	wordpools/wordpool_EN.txt	RUST	4	3	0	RepFR1	0	R1619T
234.289	0.75	277763	WORD	n/a	wordpools/wordpool_EN.txt	PASTE	5	3	0	RepFR1	0	R1619T
235.989	0.75	279463	WORD	n/a	wordpools/wordpool_EN.txt	FRIEND	6	3	0	RepFR1	0	R1619T
237.639	0.75	281113	WORD	n/a	wordpools/wordpool_EN.txt	PASTE	7	3	0	RepFR1	0	R1619T
239.306	0.75	282780	WORD	n/a	wordpools/wordpool_EN.txt	SMILE	8	2	0	RepFR1	0	R1619T
240.906	0.75	284380	WORD	n/a	wordpools/wordpool_EN.txt	SUIT	9	2	0	RepFR1	0	R1619T
242.456	0.75	285930	WORD	n/a	wordpools/wordpool_EN.txt	BANK	10	3	0	RepFR1	0	R1619T
244.039	0.75	287513	WORD	n/a	wordpools/wordpool_EN.txt	TENT	11	3	0	RepFR1	0	R1619T
245.623	0.75	289097	WORD	n/a	wordpools/wordpool_EN.txt	SUIT	12	2	0	RepFR1	0	R1619T
247.24	0.75	290714	WORD	n/a	wordpools/wordpool_EN.txt	FRIEND	13	3	0	RepFR1	0	R1619T
248.773	0.75	292247	WORD	n/a	wordpools/wordpool_EN.txt	PASTE	14	3	0	RepFR1	0	R1619T
250.507	0.75	293981	WORD	n/a	wordpools/wordpool_EN.txt	RUST	15	3	0	RepFR1	0	R1619T
252.024	0.75	295498	WORD	n/a	wordpools/wordpool_EN.txt	GIRL	16	2	0	RepFR1	0	R1619T
253.623	0.75	297097	WORD	n/a	wordpools/wordpool_EN.txt	VAULT	17	1	0	RepFR1	0	R1619T
255.325	0.75	298799	WORD	n/a	wordpools/wordpool_EN.txt	RUST	18	3	0	RepFR1	0	R1619T
256.991	0.75	300465	WORD	n/a	wordpools/wordpool_EN.txt	TROUT	19	3	0	RepFR1	0	R1619T
