onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.008	8053	START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1630E
0.008	23.246	8061	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1630E
23.254	21.553	31307	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1630E
44.807	3.0	52860	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1630E
49.09	0.75	57143	WORD	n/a	wordpools/wordpool_EN.txt	STICK	0	3	0	RepFR1	0	R1630E
50.789	0.75	58842	WORD	n/a	wordpools/wordpool_EN.txt	FRAME	1	2	0	RepFR1	0	R1630E
52.373	0.75	60426	WORD	n/a	wordpools/wordpool_EN.txt	VAULT	2	3	0	RepFR1	0	R1630E
54.073	0.75	62126	WORD	n/a	wordpools/wordpool_EN.txt	FENCE	3	1	0	RepFR1	0	R1630E
55.724	0.75	63777	WORD	n/a	wordpools/wordpool_EN.txt	BOX	4	2	0	RepFR1	0	R1630E
57.373	0.75	65426	WORD	n/a	wordpools/wordpool_EN.txt	STICK	5	3	0	RepFR1	0	R1630E
59.075	0.75	67128	WORD	n/a	wordpools/wordpool_EN.txt	TOWN	6	3	0	RepFR1	0	R1630E
60.659	0.75	68712	WORD	n/a	wordpools/wordpool_EN.txt	HOUND	7	3	0	RepFR1	0	R1630E
62.225	0.75	70278	WORD	n/a	wordpools/wordpool_EN.txt	EEL	8	3	0	RepFR1	0	R1630E
63.909	0.75	71962	WORD	n/a	wordpools/wordpool_EN.txt	HOUND	9	3	0	RepFR1	0	R1630E
65.625	0.75	73678	WORD	n/a	wordpools/wordpool_EN.txt	LEAF	10	2	0	RepFR1	0	R1630E
67.326	0.75	75379	WORD	n/a	wordpools/wordpool_EN.txt	COIN	11	1	0	RepFR1	0	R1630E
68.892	0.75	76945	WORD	n/a	wordpools/wordpool_EN.txt	FRAME	12	2	0	RepFR1	0	R1630E
70.56	0.75	78613	WORD	n/a	wordpools/wordpool_EN.txt	HOUND	13	3	0	RepFR1	0	R1630E
72.176	0.75	80229	WORD	n/a	wordpools/wordpool_EN.txt	TOOL	14	3	0	RepFR1	0	R1630E
73.809	0.75	81862	WORD	n/a	wordpools/wordpool_EN.txt	VAULT	15	3	0	RepFR1	0	R1630E
75.476	0.75	83529	WORD	n/a	wordpools/wordpool_EN.txt	FOX	16	1	0	RepFR1	0	R1630E
77.043	0.75	85096	WORD	n/a	wordpools/wordpool_EN.txt	TOOL	17	3	0	RepFR1	0	R1630E
78.694	0.75	86747	WORD	n/a	wordpools/wordpool_EN.txt	EEL	18	3	0	RepFR1	0	R1630E
80.212	0.75	88265	WORD	n/a	wordpools/wordpool_EN.txt	TOWN	19	3	0	RepFR1	0	R1630E
81.794	0.75	89847	WORD	n/a	wordpools/wordpool_EN.txt	VAULT	20	3	0	RepFR1	0	R1630E
83.429	0.75	91482	WORD	n/a	wordpools/wordpool_EN.txt	TOOL	21	3	0	RepFR1	0	R1630E
84.929	0.75	92982	WORD	n/a	wordpools/wordpool_EN.txt	EEL	22	3	0	RepFR1	0	R1630E
86.545	0.75	94598	WORD	n/a	wordpools/wordpool_EN.txt	BOX	23	2	0	RepFR1	0	R1630E
88.078	0.75	96131	WORD	n/a	wordpools/wordpool_EN.txt	TOWN	24	3	0	RepFR1	0	R1630E
89.645	0.75	97698	WORD	n/a	wordpools/wordpool_EN.txt	STICK	25	3	0	RepFR1	0	R1630E
91.378	0.75	99431	WORD	n/a	wordpools/wordpool_EN.txt	LEAF	26	2	0	RepFR1	0	R1630E
100.53	0.891	108583	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1630E
101.421	0.962	109474	REC_WORD	0.891	n/a	STICK	-999	3	0	RepFR1	0	R1630E
102.383	1.294	110436	REC_WORD	1.853	n/a	FRAME	-999	2	0	RepFR1	0	R1630E
103.677	1.619	111730	REC_WORD	3.147	n/a	FOX	-999	1	0	RepFR1	0	R1630E
105.296	1.837	113349	REC_WORD	4.766	n/a	TOOL	-999	3	0	RepFR1	0	R1630E
107.133	1.668	115186	REC_WORD	6.603	n/a	EEL	-999	3	0	RepFR1	0	R1630E
108.801	21.997	116854	REC_WORD	8.271	n/a	LEAF	-999	2	0	RepFR1	0	R1630E
130.798	0.2	138851	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1630E
130.998	17.173	139051	TRIAL_START	n/a	n/a	n/a	-999	-999	1	RepFR1	0	R1630E
148.171	3.0	156224	COUNTDOWN	n/a	n/a	n/a	-999	-999	1	RepFR1	0	R1630E
152.422	0.75	160475	WORD	n/a	wordpools/wordpool_EN.txt	SCOTCH	0	3	1	RepFR1	0	R1630E
154.072	0.75	162125	WORD	n/a	wordpools/wordpool_EN.txt	BEAK	1	3	1	RepFR1	0	R1630E
155.755	0.75	163808	WORD	n/a	wordpools/wordpool_EN.txt	YOLK	2	2	1	RepFR1	0	R1630E
157.489	0.75	165542	WORD	n/a	wordpools/wordpool_EN.txt	SUIT	3	3	1	RepFR1	0	R1630E
159.156	0.75	167209	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	4	3	1	RepFR1	0	R1630E
160.722	0.75	168775	WORD	n/a	wordpools/wordpool_EN.txt	BEAK	5	3	1	RepFR1	0	R1630E
162.473	0.75	170526	WORD	n/a	wordpools/wordpool_EN.txt	CART	6	3	1	RepFR1	0	R1630E
164.106	0.75	172159	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	7	3	1	RepFR1	0	R1630E
165.674	0.75	173727	WORD	n/a	wordpools/wordpool_EN.txt	WHEEL	8	3	1	RepFR1	0	R1630E
167.291	0.75	175344	WORD	n/a	wordpools/wordpool_EN.txt	GOAL	9	1	1	RepFR1	0	R1630E
168.991	0.75	177044	WORD	n/a	wordpools/wordpool_EN.txt	SCOTCH	10	3	1	RepFR1	0	R1630E
170.724	0.75	178777	WORD	n/a	wordpools/wordpool_EN.txt	SUIT	11	3	1	RepFR1	0	R1630E
172.423	0.75	180476	WORD	n/a	wordpools/wordpool_EN.txt	WHEEL	12	3	1	RepFR1	0	R1630E
174.141	0.75	182194	WORD	n/a	wordpools/wordpool_EN.txt	SCOTCH	13	3	1	RepFR1	0	R1630E
175.875	0.75	183928	WORD	n/a	wordpools/wordpool_EN.txt	CART	14	3	1	RepFR1	0	R1630E
177.542	0.75	185595	WORD	n/a	wordpools/wordpool_EN.txt	WHEEL	15	3	1	RepFR1	0	R1630E
179.276	0.75	187329	WORD	n/a	wordpools/wordpool_EN.txt	SEED	16	2	1	RepFR1	0	R1630E
181.009	0.75	189062	WORD	n/a	wordpools/wordpool_EN.txt	CART	17	3	1	RepFR1	0	R1630E
182.575	0.75	190628	WORD	n/a	wordpools/wordpool_EN.txt	BLUSH	18	1	1	RepFR1	0	R1630E
184.309	0.75	192362	WORD	n/a	wordpools/wordpool_EN.txt	BEAK	19	3	1	RepFR1	0	R1630E
186.009	0.75	194062	WORD	n/a	wordpools/wordpool_EN.txt	SUIT	20	3	1	RepFR1	0	R1630E
187.677	0.75	195730	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	21	3	1	RepFR1	0	R1630E
189.226	0.75	197279	WORD	n/a	wordpools/wordpool_EN.txt	TOOTH	22	2	1	RepFR1	0	R1630E
190.961	0.75	199014	WORD	n/a	wordpools/wordpool_EN.txt	SEED	23	2	1	RepFR1	0	R1630E
192.576	0.75	200629	WORD	n/a	wordpools/wordpool_EN.txt	TOOTH	24	2	1	RepFR1	0	R1630E
194.311	0.75	202364	WORD	n/a	wordpools/wordpool_EN.txt	YOLK	25	2	1	RepFR1	0	R1630E
195.944	0.75	203997	WORD	n/a	wordpools/wordpool_EN.txt	CUP	26	1	1	RepFR1	0	R1630E
205.013	0.867	213066	REC_START	n/a	n/a	n/a	-999	-999	1	RepFR1	0	R1630E
205.88	1.461	213933	REC_WORD	0.867	n/a	SCOTCH	-999	3	1	RepFR1	0	R1630E
207.341	1.599	215394	REC_WORD	2.328	n/a	EEL	-999	3	1	RepFR1	0	R1630E
208.94	1.644	216993	REC_WORD	3.927	n/a	BEAK	-999	3	1	RepFR1	0	R1630E
210.584	2.985	218637	REC_WORD	5.571	n/a	CUP	-999	1	1	RepFR1	0	R1630E
213.569	6.38	221622	REC_WORD	8.556	n/a	SEED	-999	2	1	RepFR1	0	R1630E
219.949	8.835	228002	REC_WORD	14.936	n/a	SUIT	-999	3	1	RepFR1	0	R1630E
228.784	6.499	236837	REC_WORD_VV	23.771	n/a	<>	-999	-999	1	RepFR1	0	R1630E
235.283	0.2	243336	REC_END	n/a	n/a	n/a	-999	-999	1	RepFR1	0	R1630E
235.483	9.702	243536	TRIAL_START	n/a	n/a	n/a	-999	-999	2	RepFR1	0	R1630E
245.185	3.0	253238	COUNTDOWN	n/a	n/a	n/a	-999	-999	2	RepFR1	0	R1630E
249.452	0.75	257505	WORD	n/a	wordpools/wordpool_EN.txt	PLANT	0	2	2	RepFR1	0	R1630E
250.952	0.75	259005	WORD	n/a	wordpools/wordpool_EN.txt	SHEET	1	3	2	RepFR1	0	R1630E
252.502	0.75	260555	WORD	n/a	wordpools/wordpool_EN.txt	SNACK	2	3	2	RepFR1	0	R1630E
254.074	0.75	262127	WORD	n/a	wordpools/wordpool_EN.txt	BRICK	3	2	2	RepFR1	0	R1630E
255.821	0.75	263874	WORD	n/a	wordpools/wordpool_EN.txt	DOCK	4	3	2	RepFR1	0	R1630E
257.487	0.75	265540	WORD	n/a	wordpools/wordpool_EN.txt	SNACK	5	3	2	RepFR1	0	R1630E
259.203	0.75	267256	WORD	n/a	wordpools/wordpool_EN.txt	DOCK	6	3	2	RepFR1	0	R1630E
260.92	0.75	268973	WORD	n/a	wordpools/wordpool_EN.txt	SMILE	7	3	2	RepFR1	0	R1630E
262.454	0.75	270507	WORD	n/a	wordpools/wordpool_EN.txt	SMOKE	8	2	2	RepFR1	0	R1630E
264.204	0.75	272257	WORD	n/a	wordpools/wordpool_EN.txt	SMILE	9	3	2	RepFR1	0	R1630E
265.854	0.75	273907	WORD	n/a	wordpools/wordpool_EN.txt	SEAT	10	3	2	RepFR1	0	R1630E
267.505	0.75	275558	WORD	n/a	wordpools/wordpool_EN.txt	RAIL	11	3	2	RepFR1	0	R1630E
269.171	0.75	277224	WORD	n/a	wordpools/wordpool_EN.txt	SEAT	12	3	2	RepFR1	0	R1630E
270.789	0.75	278842	WORD	n/a	wordpools/wordpool_EN.txt	SMILE	13	3	2	RepFR1	0	R1630E
272.506	0.75	280559	WORD	n/a	wordpools/wordpool_EN.txt	BOOK	14	1	2	RepFR1	0	R1630E
274.123	0.75	282176	WORD	n/a	wordpools/wordpool_EN.txt	BRICK	15	2	2	RepFR1	0	R1630E
275.656	0.75	283709	WORD	n/a	wordpools/wordpool_EN.txt	RAIL	16	3	2	RepFR1	0	R1630E
277.206	0.75	285259	WORD	n/a	wordpools/wordpool_EN.txt	JAR	17	1	2	RepFR1	0	R1630E
278.889	0.75	286942	WORD	n/a	wordpools/wordpool_EN.txt	SMOKE	18	2	2	RepFR1	0	R1630E
280.607	0.75	288660	WORD	n/a	wordpools/wordpool_EN.txt	SHEET	19	3	2	RepFR1	0	R1630E
282.124	0.75	290177	WORD	n/a	wordpools/wordpool_EN.txt	DOCK	20	3	2	RepFR1	0	R1630E
283.674	0.75	291727	WORD	n/a	wordpools/wordpool_EN.txt	RAIL	21	3	2	RepFR1	0	R1630E
285.307	0.75	293360	WORD	n/a	wordpools/wordpool_EN.txt	PLANT	22	2	2	RepFR1	0	R1630E
286.84	0.75	294893	WORD	n/a	wordpools/wordpool_EN.txt	SNACK	23	3	2	RepFR1	0	R1630E
288.425	0.75	296478	WORD	n/a	wordpools/wordpool_EN.txt	ZOO	24	1	2	RepFR1	0	R1630E
290.191	0.75	298244	WORD	n/a	wordpools/wordpool_EN.txt	SEAT	25	3	2	RepFR1	0	R1630E
291.909	0.75	299962	WORD	n/a	wordpools/wordpool_EN.txt	SHEET	26	3	2	RepFR1	0	R1630E
300.976	1.775	309029	REC_START	n/a	n/a	n/a	-999	-999	2	RepFR1	0	R1630E
302.751	1.144	310804	REC_WORD	1.775	n/a	PLANT	-999	2	2	RepFR1	0	R1630E
303.895	1.321	311948	REC_WORD	2.919	n/a	SHEET	-999	3	2	RepFR1	0	R1630E
305.216	1.902	313269	REC_WORD	4.24	n/a	SNACK	-999	3	2	RepFR1	0	R1630E
307.118	2.49	315171	REC_WORD	6.142	n/a	ZOO	-999	1	2	RepFR1	0	R1630E
