onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.029	40845	START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1681J
0.029	23.259	40874	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1681J
23.288	10.103	64133	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1681J
33.391	3.0	74236	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1681J
37.682	0.75	78527	WORD	n/a	wordpools/wordpool_EN.txt	MOUTH	0	3	0	RepFR1	3	R1681J
39.273	0.75	80118	WORD	n/a	wordpools/wordpool_EN.txt	MARSH	1	3	0	RepFR1	3	R1681J
40.828	0.75	81673	WORD	n/a	wordpools/wordpool_EN.txt	GEESE	2	3	0	RepFR1	3	R1681J
42.499	0.75	83344	WORD	n/a	wordpools/wordpool_EN.txt	RIB	3	1	0	RepFR1	3	R1681J
44.09	0.75	84935	WORD	n/a	wordpools/wordpool_EN.txt	MARSH	4	3	0	RepFR1	3	R1681J
45.807	0.75	86652	WORD	n/a	wordpools/wordpool_EN.txt	SAIL	5	2	0	RepFR1	3	R1681J
47.482	0.75	88327	WORD	n/a	wordpools/wordpool_EN.txt	CLOCK	6	3	0	RepFR1	3	R1681J
49.19	0.75	90035	WORD	n/a	wordpools/wordpool_EN.txt	WAND	7	2	0	RepFR1	3	R1681J
50.803	0.75	91648	WORD	n/a	wordpools/wordpool_EN.txt	GEESE	8	3	0	RepFR1	3	R1681J
52.515	0.75	93360	WORD	n/a	wordpools/wordpool_EN.txt	SHARK	9	3	0	RepFR1	3	R1681J
54.257	0.75	95102	WORD	n/a	wordpools/wordpool_EN.txt	CLOCK	10	3	0	RepFR1	3	R1681J
56.003	0.75	96848	WORD	n/a	wordpools/wordpool_EN.txt	STEAM	11	3	0	RepFR1	3	R1681J
57.598	0.75	98443	WORD	n/a	wordpools/wordpool_EN.txt	MOUTH	12	3	0	RepFR1	3	R1681J
59.212	0.75	100057	WORD	n/a	wordpools/wordpool_EN.txt	FENCE	13	2	0	RepFR1	3	R1681J
60.824	0.75	101669	WORD	n/a	wordpools/wordpool_EN.txt	GEESE	14	3	0	RepFR1	3	R1681J
62.357	0.75	103202	WORD	n/a	wordpools/wordpool_EN.txt	STICK	15	1	0	RepFR1	3	R1681J
63.961	0.75	104806	WORD	n/a	wordpools/wordpool_EN.txt	MOUTH	16	3	0	RepFR1	3	R1681J
65.549	0.75	106394	WORD	n/a	wordpools/wordpool_EN.txt	CLOCK	17	3	0	RepFR1	3	R1681J
67.069	0.75	107914	WORD	n/a	wordpools/wordpool_EN.txt	FENCE	18	2	0	RepFR1	3	R1681J
68.686	0.75	109531	WORD	n/a	wordpools/wordpool_EN.txt	MARSH	19	3	0	RepFR1	3	R1681J
70.252	0.75	111097	WORD	n/a	wordpools/wordpool_EN.txt	SAIL	20	2	0	RepFR1	3	R1681J
71.861	0.75	112706	WORD	n/a	wordpools/wordpool_EN.txt	WAND	21	2	0	RepFR1	3	R1681J
73.494	0.75	114339	WORD	n/a	wordpools/wordpool_EN.txt	SHARK	22	3	0	RepFR1	3	R1681J
75.127	0.75	115972	WORD	n/a	wordpools/wordpool_EN.txt	STEAM	23	3	0	RepFR1	3	R1681J
76.791	0.75	117636	WORD	n/a	wordpools/wordpool_EN.txt	SHARK	24	3	0	RepFR1	3	R1681J
78.541	0.75	119386	WORD	n/a	wordpools/wordpool_EN.txt	STEAM	25	3	0	RepFR1	3	R1681J
80.141	0.75	120986	WORD	n/a	wordpools/wordpool_EN.txt	STREET	26	1	0	RepFR1	3	R1681J
89.302	0.6	130147	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1681J
89.902	1.164	130747	REC_WORD	0.6	n/a	MOUTH	-999	3	0	RepFR1	3	R1681J
91.066	0.738	131911	REC_WORD_VV	1.764	n/a	<>	-999	-999	0	RepFR1	3	R1681J
91.804	1.797	132649	REC_WORD	2.502	n/a	GEESE	-999	3	0	RepFR1	3	R1681J
93.601	1.556	134446	REC_WORD_VV	4.299	n/a	<>	-999	-999	0	RepFR1	3	R1681J
95.157	2.969	136002	REC_WORD	5.855	n/a	SHARK	-999	3	0	RepFR1	3	R1681J
98.126	4.606	138971	REC_WORD	8.824	n/a	MARSH	-999	3	0	RepFR1	3	R1681J
102.732	2.55	143577	REC_WORD_VV	13.43	n/a	<>	-999	-999	0	RepFR1	3	R1681J
105.282	8.047	146127	REC_WORD_VV	15.98	n/a	<>	-999	-999	0	RepFR1	3	R1681J
113.329	6.145	154174	REC_WORD_VV	24.027	n/a	<>	-999	-999	0	RepFR1	3	R1681J
119.474	0.2	160319	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1681J
119.674	15.824	160519	TRIAL_START	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1681J
135.498	3.0	176343	COUNTDOWN	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1681J
139.636	0.75	180481	WORD	n/a	wordpools/wordpool_EN.txt	PARK	0	3	1	RepFR1	3	R1681J
141.198	0.75	182043	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	1	3	1	RepFR1	3	R1681J
143.057	0.75	183902	WORD	n/a	wordpools/wordpool_EN.txt	SNAKE	2	2	1	RepFR1	3	R1681J
144.535	0.75	185380	WORD	n/a	wordpools/wordpool_EN.txt	DART	3	1	1	RepFR1	3	R1681J
146.161	0.75	187006	WORD	n/a	wordpools/wordpool_EN.txt	BOARD	4	3	1	RepFR1	3	R1681J
147.865	0.75	188710	WORD	n/a	wordpools/wordpool_EN.txt	MOP	5	3	1	RepFR1	3	R1681J
149.582	0.75	190427	WORD	n/a	wordpools/wordpool_EN.txt	BOARD	6	3	1	RepFR1	3	R1681J
151.219	0.75	192064	WORD	n/a	wordpools/wordpool_EN.txt	MOP	7	3	1	RepFR1	3	R1681J
152.869	0.75	193714	WORD	n/a	wordpools/wordpool_EN.txt	CROWN	8	3	1	RepFR1	3	R1681J
154.448	0.75	195293	WORD	n/a	wordpools/wordpool_EN.txt	OWL	9	3	1	RepFR1	3	R1681J
156.077	0.75	196922	WORD	n/a	wordpools/wordpool_EN.txt	SUIT	10	1	1	RepFR1	3	R1681J
157.76	0.75	198605	WORD	n/a	wordpools/wordpool_EN.txt	CROWN	11	3	1	RepFR1	3	R1681J
159.502	0.75	200347	WORD	n/a	wordpools/wordpool_EN.txt	SNAKE	12	2	1	RepFR1	3	R1681J
161.11	0.75	201955	WORD	n/a	wordpools/wordpool_EN.txt	THREAD	13	2	1	RepFR1	3	R1681J
163.21	0.75	204055	WORD	n/a	wordpools/wordpool_EN.txt	OWL	14	3	1	RepFR1	3	R1681J
164.432	0.75	205277	WORD	n/a	wordpools/wordpool_EN.txt	PARK	15	3	1	RepFR1	3	R1681J
166.127	0.75	206972	WORD	n/a	wordpools/wordpool_EN.txt	OWL	16	3	1	RepFR1	3	R1681J
167.833	0.75	208678	WORD	n/a	wordpools/wordpool_EN.txt	HOUND	17	2	1	RepFR1	3	R1681J
169.477	0.75	210322	WORD	n/a	wordpools/wordpool_EN.txt	MOP	18	3	1	RepFR1	3	R1681J
171.008	0.75	211853	WORD	n/a	wordpools/wordpool_EN.txt	BOARD	19	3	1	RepFR1	3	R1681J
172.556	0.75	213401	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	20	3	1	RepFR1	3	R1681J
174.164	0.75	215009	WORD	n/a	wordpools/wordpool_EN.txt	HOUND	21	2	1	RepFR1	3	R1681J
175.911	0.75	216756	WORD	n/a	wordpools/wordpool_EN.txt	THREAD	22	2	1	RepFR1	3	R1681J
177.422	0.75	218267	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	23	3	1	RepFR1	3	R1681J
179.139	0.75	219984	WORD	n/a	wordpools/wordpool_EN.txt	PARK	24	3	1	RepFR1	3	R1681J
180.749	0.75	221594	WORD	n/a	wordpools/wordpool_EN.txt	CRANE	25	1	1	RepFR1	3	R1681J
182.49	0.75	223335	WORD	n/a	wordpools/wordpool_EN.txt	CROWN	26	3	1	RepFR1	3	R1681J
191.76	0.503	232605	REC_START	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1681J
192.263	0.463	233108	REC_WORD_VV	0.503	n/a	<>	-999	-999	1	RepFR1	3	R1681J
192.726	1.171	233571	REC_WORD	0.966	n/a	BOARD	-999	3	1	RepFR1	3	R1681J
