onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.005	24970	START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1604J
0.005	613.974	24975	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1604J
613.979	12.049	638949	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1604J
626.028	3.0	650998	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1604J
630.175	0.75	655145	WORD	n/a	wordpools/wordpool_EN.txt	HUT	0	2	0	RepFR1	0	R1604J
631.742	0.75	656712	WORD	n/a	wordpools/wordpool_EN.txt	LACE	1	3	0	RepFR1	0	R1604J
633.263	0.75	658233	WORD	n/a	wordpools/wordpool_EN.txt	THRONE	2	3	0	RepFR1	0	R1604J
634.948	0.75	659918	WORD	n/a	wordpools/wordpool_EN.txt	FLASK	3	2	0	RepFR1	0	R1604J
636.54	0.75	661510	WORD	n/a	wordpools/wordpool_EN.txt	HAZE	4	1	0	RepFR1	0	R1604J
638.084	0.75	663054	WORD	n/a	wordpools/wordpool_EN.txt	CLOWN	5	3	0	RepFR1	0	R1604J
639.61	0.75	664580	WORD	n/a	wordpools/wordpool_EN.txt	SKUNK	6	3	0	RepFR1	0	R1604J
641.152	0.75	666122	WORD	n/a	wordpools/wordpool_EN.txt	FLASK	7	2	0	RepFR1	0	R1604J
642.855	0.75	667825	WORD	n/a	wordpools/wordpool_EN.txt	ARCH	8	3	0	RepFR1	0	R1604J
644.447	0.75	669417	WORD	n/a	wordpools/wordpool_EN.txt	KEY	9	2	0	RepFR1	0	R1604J
646.028	0.75	670998	WORD	n/a	wordpools/wordpool_EN.txt	CLOWN	10	3	0	RepFR1	0	R1604J
647.639	0.75	672609	WORD	n/a	wordpools/wordpool_EN.txt	ARCH	11	3	0	RepFR1	0	R1604J
649.342	0.75	674312	WORD	n/a	wordpools/wordpool_EN.txt	HUT	12	2	0	RepFR1	0	R1604J
650.997	0.75	675967	WORD	n/a	wordpools/wordpool_EN.txt	KEY	13	2	0	RepFR1	0	R1604J
652.631	0.75	677601	WORD	n/a	wordpools/wordpool_EN.txt	TOAST	14	1	0	RepFR1	0	R1604J
654.314	0.75	679284	WORD	n/a	wordpools/wordpool_EN.txt	DEER	15	3	0	RepFR1	0	R1604J
655.878	0.75	680848	WORD	n/a	wordpools/wordpool_EN.txt	ARCH	16	3	0	RepFR1	0	R1604J
657.599	0.75	682569	WORD	n/a	wordpools/wordpool_EN.txt	DEER	17	3	0	RepFR1	0	R1604J
659.255	0.75	684225	WORD	n/a	wordpools/wordpool_EN.txt	THRONE	18	3	0	RepFR1	0	R1604J
660.977	0.75	685947	WORD	n/a	wordpools/wordpool_EN.txt	LACE	19	3	0	RepFR1	0	R1604J
662.705	0.75	687675	WORD	n/a	wordpools/wordpool_EN.txt	DEER	20	3	0	RepFR1	0	R1604J
664.258	0.75	689228	WORD	n/a	wordpools/wordpool_EN.txt	CLOWN	21	3	0	RepFR1	0	R1604J
665.847	0.75	690817	WORD	n/a	wordpools/wordpool_EN.txt	SKUNK	22	3	0	RepFR1	0	R1604J
667.542	0.75	692512	WORD	n/a	wordpools/wordpool_EN.txt	LACE	23	3	0	RepFR1	0	R1604J
