onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.006	42680	START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1611T
0.006	183.258	42686	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1611T
183.264	9.734	225944	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1611T
192.998	3.0	235678	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1611T
197.299	0.75	239979	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	0	3	0	RepFR1	0	R1611T
198.982	0.75	241662	WORD	n/a	wordpools/wordpool_EN.txt	SAIL	1	3	0	RepFR1	0	R1611T
200.583	0.75	243263	WORD	n/a	wordpools/wordpool_EN.txt	SHARK	2	3	0	RepFR1	0	R1611T
202.266	0.75	244946	WORD	n/a	wordpools/wordpool_EN.txt	TILE	3	2	0	RepFR1	0	R1611T
203.918	0.75	246598	WORD	n/a	wordpools/wordpool_EN.txt	FOX	4	3	0	RepFR1	0	R1611T
205.534	0.75	248214	WORD	n/a	wordpools/wordpool_EN.txt	SHARK	5	3	0	RepFR1	0	R1611T
207.25	0.75	249930	WORD	n/a	wordpools/wordpool_EN.txt	DUST	6	1	0	RepFR1	0	R1611T
208.85	0.75	251530	WORD	n/a	wordpools/wordpool_EN.txt	SAIL	7	3	0	RepFR1	0	R1611T
210.568	0.75	253248	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	8	3	0	RepFR1	0	R1611T
212.117	0.75	254797	WORD	n/a	wordpools/wordpool_EN.txt	TILE	9	2	0	RepFR1	0	R1611T
213.684	0.75	256364	WORD	n/a	wordpools/wordpool_EN.txt	PARK	10	3	0	RepFR1	0	R1611T
215.418	0.75	258098	WORD	n/a	wordpools/wordpool_EN.txt	BEEF	11	3	0	RepFR1	0	R1611T
217.001	0.75	259681	WORD	n/a	wordpools/wordpool_EN.txt	FOX	12	3	0	RepFR1	0	R1611T
218.586	0.75	261266	WORD	n/a	wordpools/wordpool_EN.txt	BAT	13	2	0	RepFR1	0	R1611T
220.301	0.75	262981	WORD	n/a	wordpools/wordpool_EN.txt	BOWL	14	2	0	RepFR1	0	R1611T
222.018	0.75	264698	WORD	n/a	wordpools/wordpool_EN.txt	BEEF	15	3	0	RepFR1	0	R1611T
223.769	0.75	266449	WORD	n/a	wordpools/wordpool_EN.txt	SMOKE	16	1	0	RepFR1	0	R1611T
225.369	0.75	268049	WORD	n/a	wordpools/wordpool_EN.txt	PARK	17	3	0	RepFR1	0	R1611T
227.069	0.75	269749	WORD	n/a	wordpools/wordpool_EN.txt	BEEF	18	3	0	RepFR1	0	R1611T
228.752	0.75	271432	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	19	3	0	RepFR1	0	R1611T
230.485	0.75	273165	WORD	n/a	wordpools/wordpool_EN.txt	SHARK	20	3	0	RepFR1	0	R1611T
232.137	0.75	274817	WORD	n/a	wordpools/wordpool_EN.txt	BAT	21	2	0	RepFR1	0	R1611T
233.769	0.75	276449	WORD	n/a	wordpools/wordpool_EN.txt	BOWL	22	2	0	RepFR1	0	R1611T
235.47	0.75	278150	WORD	n/a	wordpools/wordpool_EN.txt	SAIL	23	3	0	RepFR1	0	R1611T
237.186	0.75	279866	WORD	n/a	wordpools/wordpool_EN.txt	PARK	24	3	0	RepFR1	0	R1611T
238.754	0.75	281434	WORD	n/a	wordpools/wordpool_EN.txt	FOX	25	3	0	RepFR1	0	R1611T
240.437	0.75	283117	WORD	n/a	wordpools/wordpool_EN.txt	SCARF	26	1	0	RepFR1	0	R1611T
249.655	0.925	292335	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1611T
250.58	1.468	293260	REC_WORD	0.925	n/a	SLIDE	-999	3	0	RepFR1	0	R1611T
252.048	1.097	294728	REC_WORD	2.393	n/a	PARK	-999	3	0	RepFR1	0	R1611T
253.145	1.388	295825	REC_WORD	3.49	n/a	SHARK	-999	3	0	RepFR1	0	R1611T
254.533	1.862	297213	REC_WORD	4.878	n/a	BOWL	-999	2	0	RepFR1	0	R1611T
256.395	1.927	299075	REC_WORD	6.74	n/a	FOX	-999	3	0	RepFR1	0	R1611T
258.322	2.159	301002	REC_WORD	8.667	n/a	SMOKE	-999	1	0	RepFR1	0	R1611T
260.481	19.4	303161	REC_WORD	10.826	n/a	SAIL	-999	3	0	RepFR1	0	R1611T
279.881	0.055	322561	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	0	R1611T
