onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.009	25395	START	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1621E
0.009	80.558	25404	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1621E
80.567	11.652	105962	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1621E
92.219	3.0	117614	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1621E
96.452	0.75	121847	WORD	n/a	wordpools/wordpool_EN.txt	PIPE	0	3	0	RepFR1	1	R1621E
98.052	0.75	123447	WORD	n/a	wordpools/wordpool_EN.txt	COIN	1	2	0	RepFR1	1	R1621E
99.669	0.75	125064	WORD	n/a	wordpools/wordpool_EN.txt	TENT	2	3	0	RepFR1	1	R1621E
101.336	0.75	126731	WORD	n/a	wordpools/wordpool_EN.txt	MOON	3	1	0	RepFR1	1	R1621E
103.003	0.75	128398	WORD	n/a	wordpools/wordpool_EN.txt	SOUP	4	3	0	RepFR1	1	R1621E
104.519	0.75	129914	WORD	n/a	wordpools/wordpool_EN.txt	YARD	5	3	0	RepFR1	1	R1621E
106.036	0.75	131431	WORD	n/a	wordpools/wordpool_EN.txt	SHEET	6	2	0	RepFR1	1	R1621E
107.704	0.75	133099	WORD	n/a	wordpools/wordpool_EN.txt	SEAT	7	3	0	RepFR1	1	R1621E
109.454	0.75	134849	WORD	n/a	wordpools/wordpool_EN.txt	CORD	8	2	0	RepFR1	1	R1621E
111.121	0.75	136516	WORD	n/a	wordpools/wordpool_EN.txt	PIPE	9	3	0	RepFR1	1	R1621E
112.854	0.75	138249	WORD	n/a	wordpools/wordpool_EN.txt	SOUP	10	3	0	RepFR1	1	R1621E
114.555	0.75	139950	WORD	n/a	wordpools/wordpool_EN.txt	YARD	11	3	0	RepFR1	1	R1621E
116.255	0.75	141650	WORD	n/a	wordpools/wordpool_EN.txt	PIPE	12	3	0	RepFR1	1	R1621E
117.772	0.75	143167	WORD	n/a	wordpools/wordpool_EN.txt	SEAT	13	3	0	RepFR1	1	R1621E
119.339	0.75	144734	WORD	n/a	wordpools/wordpool_EN.txt	LEAF	14	3	0	RepFR1	1	R1621E
120.873	0.75	146268	WORD	n/a	wordpools/wordpool_EN.txt	SEAT	15	3	0	RepFR1	1	R1621E
122.422	0.75	147817	WORD	n/a	wordpools/wordpool_EN.txt	LEAF	16	3	0	RepFR1	1	R1621E
124.005	0.75	149400	WORD	n/a	wordpools/wordpool_EN.txt	COIN	17	2	0	RepFR1	1	R1621E
125.739	0.75	151134	WORD	n/a	wordpools/wordpool_EN.txt	LEAF	18	3	0	RepFR1	1	R1621E
127.29	0.75	152685	WORD	n/a	wordpools/wordpool_EN.txt	CORD	19	2	0	RepFR1	1	R1621E
128.89	0.75	154285	WORD	n/a	wordpools/wordpool_EN.txt	ROD	20	1	0	RepFR1	1	R1621E
130.557	0.75	155952	WORD	n/a	wordpools/wordpool_EN.txt	SHEET	21	2	0	RepFR1	1	R1621E
132.224	0.75	157619	WORD	n/a	wordpools/wordpool_EN.txt	SOUP	22	3	0	RepFR1	1	R1621E
133.874	0.75	159269	WORD	n/a	wordpools/wordpool_EN.txt	TENT	23	3	0	RepFR1	1	R1621E
135.54	0.75	160935	WORD	n/a	wordpools/wordpool_EN.txt	DUST	24	1	0	RepFR1	1	R1621E
137.226	0.75	162621	WORD	n/a	wordpools/wordpool_EN.txt	YARD	25	3	0	RepFR1	1	R1621E
138.774	0.75	164169	WORD	n/a	wordpools/wordpool_EN.txt	TENT	26	3	0	RepFR1	1	R1621E
147.894	0.595	173289	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1621E
148.489	1.314	173884	REC_WORD	0.595	n/a	PIPE	-999	3	0	RepFR1	1	R1621E
149.803	3.172	175198	REC_WORD	1.909	n/a	CARD	-999	2	0	RepFR1	1	R1621E
152.975	25.175	178370	REC_WORD	5.081	n/a	SEAT	-999	3	0	RepFR1	1	R1621E
178.15	0.277	203545	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	1	R1621E
178.427	21.89	203822	TRIAL_START	n/a	n/a	n/a	-999	-999	1	RepFR1	1	R1621E
200.317	3.0	225712	COUNTDOWN	n/a	n/a	n/a	-999	-999	1	RepFR1	1	R1621E
204.535	0.75	229930	WORD	n/a	wordpools/wordpool_EN.txt	WEB	0	3	1	RepFR1	1	R1621E
206.235	0.75	231630	WORD	n/a	wordpools/wordpool_EN.txt	MUG	1	1	1	RepFR1	1	R1621E
207.885	0.75	233280	WORD	n/a	wordpools/wordpool_EN.txt	SCOTCH	2	1	1	RepFR1	1	R1621E
209.601	0.75	234996	WORD	n/a	wordpools/wordpool_EN.txt	PET	3	3	1	RepFR1	1	R1621E
211.184	0.75	236579	WORD	n/a	wordpools/wordpool_EN.txt	BAR	4	3	1	RepFR1	1	R1621E
212.918	0.75	238313	WORD	n/a	wordpools/wordpool_EN.txt	CAVE	5	1	1	RepFR1	1	R1621E
214.486	0.75	239881	WORD	n/a	wordpools/wordpool_EN.txt	TREE	6	3	1	RepFR1	1	R1621E
216.169	0.75	241564	WORD	n/a	wordpools/wordpool_EN.txt	BAR	7	3	1	RepFR1	1	R1621E
217.687	0.75	243082	WORD	n/a	wordpools/wordpool_EN.txt	WEB	8	3	1	RepFR1	1	R1621E
219.37	0.75	244765	WORD	n/a	wordpools/wordpool_EN.txt	GATE	9	2	1	RepFR1	1	R1621E
220.954	0.75	246349	WORD	n/a	wordpools/wordpool_EN.txt	PET	10	3	1	RepFR1	1	R1621E
222.686	0.75	248081	WORD	n/a	wordpools/wordpool_EN.txt	SKY	11	3	1	RepFR1	1	R1621E
224.42	0.75	249815	WORD	n/a	wordpools/wordpool_EN.txt	BADGE	12	3	1	RepFR1	1	R1621E
225.987	0.75	251382	WORD	n/a	wordpools/wordpool_EN.txt	PET	13	3	1	RepFR1	1	R1621E
227.604	0.75	252999	WORD	n/a	wordpools/wordpool_EN.txt	SOCK	14	2	1	RepFR1	1	R1621E
229.204	0.75	254599	WORD	n/a	wordpools/wordpool_EN.txt	TREE	15	3	1	RepFR1	1	R1621E
230.787	0.75	256182	WORD	n/a	wordpools/wordpool_EN.txt	GATE	16	2	1	RepFR1	1	R1621E
232.355	0.75	257750	WORD	n/a	wordpools/wordpool_EN.txt	BADGE	17	3	1	RepFR1	1	R1621E
233.972	0.75	259367	WORD	n/a	wordpools/wordpool_EN.txt	TREE	18	3	1	RepFR1	1	R1621E
235.606	0.75	261001	WORD	n/a	wordpools/wordpool_EN.txt	WEB	19	3	1	RepFR1	1	R1621E
237.305	0.75	262700	WORD	n/a	wordpools/wordpool_EN.txt	HOLE	20	2	1	RepFR1	1	R1621E
238.889	0.75	264284	WORD	n/a	wordpools/wordpool_EN.txt	SKY	21	3	1	RepFR1	1	R1621E
240.589	0.75	265984	WORD	n/a	wordpools/wordpool_EN.txt	BAR	22	3	1	RepFR1	1	R1621E
242.155	0.75	267550	WORD	n/a	wordpools/wordpool_EN.txt	HOLE	23	2	1	RepFR1	1	R1621E
243.84	0.75	269235	WORD	n/a	wordpools/wordpool_EN.txt	SOCK	24	2	1	RepFR1	1	R1621E
245.39	0.75	270785	WORD	n/a	wordpools/wordpool_EN.txt	BADGE	25	3	1	RepFR1	1	R1621E
246.99	0.75	272385	WORD	n/a	wordpools/wordpool_EN.txt	SKY	26	3	1	RepFR1	1	R1621E
256.075	1.413	281470	REC_START	n/a	n/a	n/a	-999	-999	1	RepFR1	1	R1621E
257.488	1.171	282883	REC_WORD	1.413	n/a	PIPE	-999	3	1	RepFR1	1	R1621E
258.659	2.687	284054	REC_WORD	2.584	n/a	BADGE	-999	3	1	RepFR1	1	R1621E
261.346	1.949	286741	REC_WORD	5.271	n/a	SCOTCH	-999	1	1	RepFR1	1	R1621E
263.295	23.065	288690	REC_WORD	7.22	n/a	BAR	-999	3	1	RepFR1	1	R1621E
286.36	0.196	311755	REC_END	n/a	n/a	n/a	-999	-999	1	RepFR1	1	R1621E
