onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.006	8108	START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1624E
0.006	25.571	8114	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1624E
25.577	13.503	33685	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1624E
39.08	3.0	47188	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1624E
43.213	0.75	51321	WORD	n/a	wordpools/wordpool_EN.txt	STRING	0	1	0	RepFR1	3	R1624E
44.88	0.75	52988	WORD	n/a	wordpools/wordpool_EN.txt	CHIEF	1	2	0	RepFR1	3	R1624E
46.63	0.75	54738	WORD	n/a	wordpools/wordpool_EN.txt	HOOD	2	3	0	RepFR1	3	R1624E
48.23	0.75	56338	WORD	n/a	wordpools/wordpool_EN.txt	ARCH	3	3	0	RepFR1	3	R1624E
49.814	0.75	57922	WORD	n/a	wordpools/wordpool_EN.txt	FLASK	4	2	0	RepFR1	3	R1624E
51.381	0.75	59489	WORD	n/a	wordpools/wordpool_EN.txt	FLEA	5	3	0	RepFR1	3	R1624E
52.914	0.75	61022	WORD	n/a	wordpools/wordpool_EN.txt	SWAMP	6	1	0	RepFR1	3	R1624E
54.615	0.75	62723	WORD	n/a	wordpools/wordpool_EN.txt	RIB	7	3	0	RepFR1	3	R1624E
56.265	0.75	64373	WORD	n/a	wordpools/wordpool_EN.txt	MOUSE	8	3	0	RepFR1	3	R1624E
57.865	0.75	65973	WORD	n/a	wordpools/wordpool_EN.txt	HOOD	9	3	0	RepFR1	3	R1624E
59.515	0.75	67623	WORD	n/a	wordpools/wordpool_EN.txt	LAWN	10	3	0	RepFR1	3	R1624E
61.249	0.75	69357	WORD	n/a	wordpools/wordpool_EN.txt	FLASK	11	2	0	RepFR1	3	R1624E
62.815	0.75	70923	WORD	n/a	wordpools/wordpool_EN.txt	FLEA	12	3	0	RepFR1	3	R1624E
64.549	0.75	72657	WORD	n/a	wordpools/wordpool_EN.txt	LAWN	13	3	0	RepFR1	3	R1624E
66.132	0.75	74240	WORD	n/a	wordpools/wordpool_EN.txt	ARCH	14	3	0	RepFR1	3	R1624E
67.866	0.75	75974	WORD	n/a	wordpools/wordpool_EN.txt	CHIEF	15	2	0	RepFR1	3	R1624E
69.401	0.75	77509	WORD	n/a	wordpools/wordpool_EN.txt	MOUSE	16	3	0	RepFR1	3	R1624E
70.967	0.75	79075	WORD	n/a	wordpools/wordpool_EN.txt	DOG	17	1	0	RepFR1	3	R1624E
72.634	0.75	80742	WORD	n/a	wordpools/wordpool_EN.txt	LAWN	18	3	0	RepFR1	3	R1624E
74.251	0.75	82359	WORD	n/a	wordpools/wordpool_EN.txt	ARCH	19	3	0	RepFR1	3	R1624E
75.784	0.75	83892	WORD	n/a	wordpools/wordpool_EN.txt	RIB	20	3	0	RepFR1	3	R1624E
77.434	0.75	85542	WORD	n/a	wordpools/wordpool_EN.txt	FLEA	21	3	0	RepFR1	3	R1624E
79.001	0.75	87109	WORD	n/a	wordpools/wordpool_EN.txt	HOOD	22	3	0	RepFR1	3	R1624E
80.751	0.75	88859	WORD	n/a	wordpools/wordpool_EN.txt	TOAST	23	2	0	RepFR1	3	R1624E
82.451	0.75	90559	WORD	n/a	wordpools/wordpool_EN.txt	MOUSE	24	3	0	RepFR1	3	R1624E
84.068	0.75	92176	WORD	n/a	wordpools/wordpool_EN.txt	RIB	25	3	0	RepFR1	3	R1624E
85.653	0.75	93761	WORD	n/a	wordpools/wordpool_EN.txt	TOAST	26	2	0	RepFR1	3	R1624E
94.836	1.325	102944	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1624E
96.161	0.491	104269	REC_WORD	1.325	n/a	STRING	-999	1	0	RepFR1	3	R1624E
96.652	0.554	104760	REC_WORD	1.816	n/a	CHIEF	-999	2	0	RepFR1	3	R1624E
97.206	0.544	105314	REC_WORD	2.37	n/a	ARCH	-999	3	0	RepFR1	3	R1624E
97.75	0.587	105858	REC_WORD	2.914	n/a	HOOD	-999	3	0	RepFR1	3	R1624E
98.337	1.901	106445	REC_WORD	3.501	n/a	FLASK	-999	2	0	RepFR1	3	R1624E
100.238	1.276	108346	REC_WORD	5.402	n/a	FLEA	-999	3	0	RepFR1	3	R1624E
101.514	1.657	109622	REC_WORD	6.678	n/a	DOG	-999	1	0	RepFR1	3	R1624E
103.171	1.691	111279	REC_WORD	8.335	n/a	MOUSE	-999	3	0	RepFR1	3	R1624E
104.862	5.534	112970	REC_WORD	10.026	n/a	LAWN	-999	3	0	RepFR1	3	R1624E
110.396	2.046	118504	REC_WORD_VV	15.56	n/a	<>	-999	-999	0	RepFR1	3	R1624E
112.442	12.657	120550	REC_WORD_VV	17.606	n/a	<>	-999	-999	0	RepFR1	3	R1624E
125.099	0.206	133207	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	3	R1624E
125.305	43.423	133413	TRIAL_START	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1624E
168.728	3.0	176836	COUNTDOWN	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1624E
172.98	0.75	181088	WORD	n/a	wordpools/wordpool_EN.txt	BROOK	0	2	1	RepFR1	3	R1624E
174.73	0.75	182838	WORD	n/a	wordpools/wordpool_EN.txt	JUDGE	1	3	1	RepFR1	3	R1624E
176.363	0.75	184471	WORD	n/a	wordpools/wordpool_EN.txt	SNACK	2	3	1	RepFR1	3	R1624E
177.93	0.75	186038	WORD	n/a	wordpools/wordpool_EN.txt	FILM	3	3	1	RepFR1	3	R1624E
179.514	0.75	187622	WORD	n/a	wordpools/wordpool_EN.txt	DART	4	3	1	RepFR1	3	R1624E
181.08	0.75	189188	WORD	n/a	wordpools/wordpool_EN.txt	JUDGE	5	3	1	RepFR1	3	R1624E
182.598	0.75	190706	WORD	n/a	wordpools/wordpool_EN.txt	FILM	6	3	1	RepFR1	3	R1624E
184.231	0.75	192339	WORD	n/a	wordpools/wordpool_EN.txt	CRIB	7	2	1	RepFR1	3	R1624E
185.965	0.75	194073	WORD	n/a	wordpools/wordpool_EN.txt	JUDGE	8	3	1	RepFR1	3	R1624E
187.664	0.75	195772	WORD	n/a	wordpools/wordpool_EN.txt	DART	9	3	1	RepFR1	3	R1624E
189.281	0.75	197389	WORD	n/a	wordpools/wordpool_EN.txt	HAZE	10	2	1	RepFR1	3	R1624E
190.948	0.75	199056	WORD	n/a	wordpools/wordpool_EN.txt	MAZE	11	3	1	RepFR1	3	R1624E
192.582	0.75	200690	WORD	n/a	wordpools/wordpool_EN.txt	DART	12	3	1	RepFR1	3	R1624E
194.332	0.75	202440	WORD	n/a	wordpools/wordpool_EN.txt	MAZE	13	3	1	RepFR1	3	R1624E
195.966	0.75	204074	WORD	n/a	wordpools/wordpool_EN.txt	FILM	14	3	1	RepFR1	3	R1624E
197.482	0.75	205590	WORD	n/a	wordpools/wordpool_EN.txt	BOWL	15	3	1	RepFR1	3	R1624E
199.15	0.75	207258	WORD	n/a	wordpools/wordpool_EN.txt	BRICK	16	1	1	RepFR1	3	R1624E
200.867	0.75	208975	WORD	n/a	wordpools/wordpool_EN.txt	HAZE	17	2	1	RepFR1	3	R1624E
202.433	0.75	210541	WORD	n/a	wordpools/wordpool_EN.txt	SLEEVE	18	1	1	RepFR1	3	R1624E
204.183	0.75	212291	WORD	n/a	wordpools/wordpool_EN.txt	COIN	19	1	1	RepFR1	3	R1624E
205.899	0.75	214007	WORD	n/a	wordpools/wordpool_EN.txt	BOWL	20	3	1	RepFR1	3	R1624E
207.651	0.75	215759	WORD	n/a	wordpools/wordpool_EN.txt	MAZE	21	3	1	RepFR1	3	R1624E
209.318	0.75	217426	WORD	n/a	wordpools/wordpool_EN.txt	SNACK	22	3	1	RepFR1	3	R1624E
210.835	0.75	218943	WORD	n/a	wordpools/wordpool_EN.txt	CRIB	23	2	1	RepFR1	3	R1624E
212.484	0.75	220592	WORD	n/a	wordpools/wordpool_EN.txt	BOWL	24	3	1	RepFR1	3	R1624E
214.185	0.75	222293	WORD	n/a	wordpools/wordpool_EN.txt	SNACK	25	3	1	RepFR1	3	R1624E
215.769	0.75	223877	WORD	n/a	wordpools/wordpool_EN.txt	BROOK	26	2	1	RepFR1	3	R1624E
224.92	0.429	233028	REC_START	n/a	n/a	n/a	-999	-999	1	RepFR1	3	R1624E
225.349	0.487	233457	REC_WORD_VV	0.429	n/a	<>	-999	-999	1	RepFR1	3	R1624E
225.836	1.829	233944	REC_WORD	0.916	n/a	SNACK	-999	3	1	RepFR1	3	R1624E
227.665	0.547	235773	REC_WORD_VV	2.745	n/a	<>	-999	-999	1	RepFR1	3	R1624E
