onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	repeats	list	experiment	session	subject
0.0	0.031	467860	START	n/a	n/a	n/a	-999	-999	0	RepFR1	2	R1651J
0.031	187.174	467891	SESS_START	n/a	n/a	n/a	-999	-999	0	RepFR1	2	R1651J
187.205	9.876	655065	TRIAL_START	n/a	n/a	n/a	-999	-999	0	RepFR1	2	R1651J
197.081	3.0	664941	COUNTDOWN	n/a	n/a	n/a	-999	-999	0	RepFR1	2	R1651J
201.414	0.75	669274	WORD	n/a	wordpools/wordpool_EN.txt	POOL	0	3	0	RepFR1	2	R1651J
203.064	0.75	670924	WORD	n/a	wordpools/wordpool_EN.txt	BUG	1	3	0	RepFR1	2	R1651J
204.597	0.75	672457	WORD	n/a	wordpools/wordpool_EN.txt	GATE	2	2	0	RepFR1	2	R1651J
206.237	0.75	674097	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	3	3	0	RepFR1	2	R1651J
207.871	0.75	675731	WORD	n/a	wordpools/wordpool_EN.txt	CLOCK	4	3	0	RepFR1	2	R1651J
209.387	0.75	677247	WORD	n/a	wordpools/wordpool_EN.txt	BUG	5	3	0	RepFR1	2	R1651J
210.938	0.75	678798	WORD	n/a	wordpools/wordpool_EN.txt	COD	6	2	0	RepFR1	2	R1651J
212.663	0.75	680523	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	7	3	0	RepFR1	2	R1651J
214.364	0.75	682224	WORD	n/a	wordpools/wordpool_EN.txt	LINT	8	1	0	RepFR1	2	R1651J
216.021	0.75	683881	WORD	n/a	wordpools/wordpool_EN.txt	STAKE	9	3	0	RepFR1	2	R1651J
217.697	0.75	685557	WORD	n/a	wordpools/wordpool_EN.txt	POOL	10	3	0	RepFR1	2	R1651J
219.364	0.75	687224	WORD	n/a	wordpools/wordpool_EN.txt	CLOCK	11	3	0	RepFR1	2	R1651J
221.063	0.75	688923	WORD	n/a	wordpools/wordpool_EN.txt	OWL	12	3	0	RepFR1	2	R1651J
222.73	0.75	690590	WORD	n/a	wordpools/wordpool_EN.txt	CHIEF	13	1	0	RepFR1	2	R1651J
224.271	0.75	692131	WORD	n/a	wordpools/wordpool_EN.txt	COD	14	2	0	RepFR1	2	R1651J
225.872	0.75	693732	WORD	n/a	wordpools/wordpool_EN.txt	POOL	15	3	0	RepFR1	2	R1651J
227.388	0.75	695248	WORD	n/a	wordpools/wordpool_EN.txt	STAKE	16	3	0	RepFR1	2	R1651J
229.013	0.75	696873	WORD	n/a	wordpools/wordpool_EN.txt	GATE	17	2	0	RepFR1	2	R1651J
230.562	0.75	698422	WORD	n/a	wordpools/wordpool_EN.txt	OWL	18	3	0	RepFR1	2	R1651J
232.197	0.75	700057	WORD	n/a	wordpools/wordpool_EN.txt	GIRL	19	1	0	RepFR1	2	R1651J
233.771	0.75	701631	WORD	n/a	wordpools/wordpool_EN.txt	CLOCK	20	3	0	RepFR1	2	R1651J
235.455	0.75	703315	WORD	n/a	wordpools/wordpool_EN.txt	STAKE	21	3	0	RepFR1	2	R1651J
237.039	0.75	704899	WORD	n/a	wordpools/wordpool_EN.txt	SLIDE	22	3	0	RepFR1	2	R1651J
238.647	0.75	706507	WORD	n/a	wordpools/wordpool_EN.txt	SPOOL	23	2	0	RepFR1	2	R1651J
240.288	0.75	708148	WORD	n/a	wordpools/wordpool_EN.txt	OWL	24	3	0	RepFR1	2	R1651J
241.913	0.75	709773	WORD	n/a	wordpools/wordpool_EN.txt	BUG	25	3	0	RepFR1	2	R1651J
243.531	0.75	711391	WORD	n/a	wordpools/wordpool_EN.txt	SPOOL	26	2	0	RepFR1	2	R1651J
252.714	2.61	720574	REC_START	n/a	n/a	n/a	-999	-999	0	RepFR1	2	R1651J
255.324	2.03	723184	REC_WORD	2.61	n/a	POOL	-999	3	0	RepFR1	2	R1651J
257.354	4.81	725214	REC_WORD	4.64	n/a	BUG	-999	3	0	RepFR1	2	R1651J
262.164	6.101	730024	REC_WORD	9.45	n/a	GATE	-999	2	0	RepFR1	2	R1651J
268.265	14.607	736125	REC_WORD	15.551	n/a	SLIDE	-999	3	0	RepFR1	2	R1651J
282.872	0.2	750732	REC_END	n/a	n/a	n/a	-999	-999	0	RepFR1	2	R1651J
283.072	32.145	750932	TRIAL_START	n/a	n/a	n/a	-999	-999	1	RepFR1	2	R1651J
315.217	3.0	783077	COUNTDOWN	n/a	n/a	n/a	-999	-999	1	RepFR1	2	R1651J
319.368	0.75	787228	WORD	n/a	wordpools/wordpool_EN.txt	PLANT	0	2	1	RepFR1	2	R1651J
320.951	0.75	788811	WORD	n/a	wordpools/wordpool_EN.txt	GOAL	1	1	1	RepFR1	2	R1651J
322.633	0.75	790493	WORD	n/a	wordpools/wordpool_EN.txt	HAZE	2	1	1	RepFR1	2	R1651J
324.166	0.75	792026	WORD	n/a	wordpools/wordpool_EN.txt	PIN	3	3	1	RepFR1	2	R1651J
325.916	0.75	793776	WORD	n/a	wordpools/wordpool_EN.txt	ROOT	4	2	1	RepFR1	2	R1651J
327.644	0.75	795504	WORD	n/a	wordpools/wordpool_EN.txt	PLANT	5	2	1	RepFR1	2	R1651J
329.292	0.75	797152	WORD	n/a	wordpools/wordpool_EN.txt	PIN	6	3	1	RepFR1	2	R1651J
331.049	0.75	798909	WORD	n/a	wordpools/wordpool_EN.txt	GRASS	7	3	1	RepFR1	2	R1651J
332.617	0.75	800477	WORD	n/a	wordpools/wordpool_EN.txt	SQUARE	8	3	1	RepFR1	2	R1651J
334.334	0.75	802194	WORD	n/a	wordpools/wordpool_EN.txt	PRINCE	9	3	1	RepFR1	2	R1651J
335.866	0.75	803726	WORD	n/a	wordpools/wordpool_EN.txt	CONE	10	2	1	RepFR1	2	R1651J
337.476	0.75	805336	WORD	n/a	wordpools/wordpool_EN.txt	SQUARE	11	3	1	RepFR1	2	R1651J
339.101	0.75	806961	WORD	n/a	wordpools/wordpool_EN.txt	TWIG	12	3	1	RepFR1	2	R1651J
340.791	0.75	808651	WORD	n/a	wordpools/wordpool_EN.txt	CONE	13	2	1	RepFR1	2	R1651J
342.367	0.75	810227	WORD	n/a	wordpools/wordpool_EN.txt	SEED	14	3	1	RepFR1	2	R1651J
343.951	0.75	811811	WORD	n/a	wordpools/wordpool_EN.txt	GRASS	15	3	1	RepFR1	2	R1651J
345.634	0.75	813494	WORD	n/a	wordpools/wordpool_EN.txt	ROOT	16	2	1	RepFR1	2	R1651J
347.266	0.75	815126	WORD	n/a	wordpools/wordpool_EN.txt	PRINCE	17	3	1	RepFR1	2	R1651J
348.925	0.75	816785	WORD	n/a	wordpools/wordpool_EN.txt	SEED	18	3	1	RepFR1	2	R1651J
350.567	0.75	818427	WORD	n/a	wordpools/wordpool_EN.txt	PIN	19	3	1	RepFR1	2	R1651J
352.325	0.75	820185	WORD	n/a	wordpools/wordpool_EN.txt	TWIG	20	3	1	RepFR1	2	R1651J
353.866	0.75	821726	WORD	n/a	wordpools/wordpool_EN.txt	PRINCE	21	3	1	RepFR1	2	R1651J
355.426	0.75	823286	WORD	n/a	wordpools/wordpool_EN.txt	SEED	22	3	1	RepFR1	2	R1651J
357.1	0.75	824960	WORD	n/a	wordpools/wordpool_EN.txt	GRASS	23	3	1	RepFR1	2	R1651J
358.793	0.75	826653	WORD	n/a	wordpools/wordpool_EN.txt	TWIG	24	3	1	RepFR1	2	R1651J
360.474	0.75	828334	WORD	n/a	wordpools/wordpool_EN.txt	BIRD	25	1	1	RepFR1	2	R1651J
362.108	0.75	829968	WORD	n/a	wordpools/wordpool_EN.txt	SQUARE	26	3	1	RepFR1	2	R1651J
371.241	1.71	839101	REC_START	n/a	n/a	n/a	-999	-999	1	RepFR1	2	R1651J
372.951	1.241	840811	REC_WORD	1.71	n/a	PRINCE	-999	3	1	RepFR1	2	R1651J
374.192	1.75	842052	REC_WORD	2.951	n/a	SEED	-999	3	1	RepFR1	2	R1651J
375.942	2.675	843802	REC_WORD	4.701	n/a	PLANT	-999	2	1	RepFR1	2	R1651J
378.617	1.966	846477	REC_WORD	7.376	n/a	GRASS	-999	3	1	RepFR1	2	R1651J
380.583	1.355	848443	REC_WORD_VV	9.342	n/a	<>	-999	-999	1	RepFR1	2	R1651J
381.938	19.443	849798	REC_WORD	10.697	n/a	SEED	-999	3	1	RepFR1	2	R1651J
